,pm25,pm10,co,no2,so2,o3,nh3
2025-01-01,3.9,21.0,0.024,0.0007,3.9,0.018,0.0
2025-01-02,5.1,13.0,0.028,0.0006,5.1,0.02,0.0
2025-01-03,4.0,25.0,0.035,0.0006,4.0,0.011,0.0
2025-01-04,9.2,32.0,0.018,0.0007,9.2,0.027,0.0
2025-01-05,8.0,79.0,0.05,0.0007,8.0,0.005,0.001
2025-01-06,2.2,10.0,0.043,0.0006,2.2,0.006,0.001
2025-01-07,2.9,13.0,0.035,0.0001,2.9,0.011,0.0
2025-01-08,3.3,15.0,0.036,0.0,3.3,0.004,0.0
2025-01-09,6.7,25.0,0.027,0.0001,6.7,0.02,0.002
2025-01-10,5.9,14.0,0.032,0.0001,5.9,0.011,0.0
2025-01-11,5.0,15.0,0.027,0.0002,5.0,0.017,0.001
2025-01-12,3.7,41.0,0.042,0.0001,3.7,0.005,0.001
2025-01-13,2.7,6.0,0.038,0.0,2.7,0.003,0.0
2025-01-14,7.0,15.0,0.026,0.0002,7.0,0.013,0.0
2025-01-15,3.2,12.0,0.032,0.0001,3.2,0.014,0.002
2025-01-16,5.1,25.0,0.021,0.0002,5.1,0.025,0.002
2025-01-17,4.2,19.0,0.024,0.0001,4.2,0.028,0.003
2025-01-18,4.1,22.0,0.034,0.0001,4.1,0.015,0.001
2025-01-19,6.6,79.0,0.046,0.0001,6.6,0.005,0.001
2025-01-20,4.0,12.0,0.041,0.0001,4.0,0.006,0.0
2025-01-21,3.0,20.0,0.045,0.0004,3.0,0.007,0.001
2025-01-22,3.7,23.0,0.027,0.0002,3.7,0.021,0.002
2025-01-23,3.3,31.0,0.047,0.0001,3.3,0.006,0.001
2025-01-24,3.1,13.0,0.039,0.0002,3.1,0.01,0.001
2025-01-25,5.4,26.0,0.025,0.0001,5.4,0.024,0.004
2025-01-26,4.7,26.0,0.028,0.0001,4.7,0.009,0.0
2025-01-27,8.7,26.0,0.011,0.0001,8.7,0.072,0.034
2025-01-28,3.5,19.0,0.04,0.0001,3.5,0.005,0.0
2025-01-29,7.6,64.0,0.047,0.0002,7.6,0.004,0.0
2025-01-30,4.1,8.0,0.042,0.0001,4.1,0.006,0.0
2025-01-31,4.3,26.0,0.041,0.0001,4.3,0.008,0.001
