,pm25,pm10,co,no2,so2,o3,nh3
2024-12-01,7.6,24.0,0.014,0.0006,7.6,0.026,0.001
2024-12-02,9.8,29.0,0.003,0.0007,9.8,0.046,0.008
2024-12-03,8.0,47.0,0.003,0.0007,8.0,0.048,0.009
2024-12-04,9.1,38.0,0.01,0.0009,9.1,0.046,0.009
2024-12-05,6.8,27.0,0.01,0.0006,6.8,0.037,0.004
2024-12-06,4.2,16.0,0.032,0.0005,4.2,0.01,0.0
2024-12-07,11.6,37.0,0.021,0.0006,11.6,0.026,0.001
2024-12-08,8.1,23.0,0.036,0.0006,8.1,0.012,0.0
2024-12-09,5.1,18.0,0.014,0.0006,5.1,0.027,0.002
2024-12-10,4.9,55.0,0.037,0.0006,4.9,0.005,0.001
2024-12-11,3.3,17.0,0.035,0.0005,3.3,0.01,0.001
2024-12-12,5.7,26.0,0.012,0.0008,5.7,0.037,0.005
2024-12-13,7.1,50.0,0.009,0.0008,7.1,0.037,0.004
2024-12-14,5.4,28.0,0.037,0.0006,5.4,0.012,0.001
2024-12-15,4.7,19.0,0.019,0.0006,4.7,0.028,0.0
2024-12-16,3.6,15.0,0.038,0.0006,3.6,0.009,0.0
2024-12-17,9.0,70.0,0.006,0.002,9.0,0.053,0.014
2024-12-18,16.7,115.0,0.002,0.0016,16.7,0.085,0.038
2024-12-19,6.4,30.0,0.018,0.0005,6.4,0.028,0.002
2024-12-20,9.9,57.0,0.003,0.0011,9.9,0.067,0.024
2024-12-21,8.9,53.0,0.011,0.0011,8.9,0.04,0.005
2024-12-22,5.9,26.0,0.015,0.0006,5.9,0.031,0.002
2024-12-23,10.8,36.0,0.01,0.0009,10.8,0.042,0.005
2024-12-24,5.2,27.0,0.018,0.0007,5.2,0.026,0.001
2024-12-25,5.8,23.0,0.026,0.0007,5.8,0.018,0.0
2024-12-26,6.2,15.0,0.037,0.0007,6.2,0.007,0.0
2024-12-27,3.4,25.0,0.038,0.0007,3.4,0.007,0.0
2024-12-28,4.0,15.0,0.027,0.0007,4.0,0.015,0.0
2024-12-29,1.8,10.0,0.04,0.0006,1.8,0.004,0.0
2024-12-30,3.8,14.0,0.025,0.0006,3.8,0.015,0.0
2024-12-31,2.6,16.0,0.039,0.0006,2.6,0.006,0.0
