,pm25,pm10,co,no2,so2,o3,nh3
2024-09-01,4.9,12.0,0.055,0.0002,4.9,0.0,0.0
2024-09-02,6.0,14.0,0.065,0.0003,6.0,0.0,0.0
2024-09-03,3.6,10.0,0.06,0.0003,3.6,0.0,0.0
2024-09-04,5.3,24.0,0.063,0.0004,5.3,0.005,0.0
2024-09-05,3.5,13.0,0.062,0.0004,3.5,0.001,0.0
2024-09-06,3.8,40.0,0.051,0.0003,3.8,0.0,0.0
2024-09-07,6.2,15.0,0.061,0.0003,6.2,0.001,0.0
2024-09-08,8.6,28.0,0.056,0.0003,8.6,0.004,0.0
2024-09-09,6.4,17.0,0.053,0.0004,6.4,0.002,0.0
2024-09-10,6.1,20.0,0.051,0.0004,6.1,0.002,0.0
2024-09-11,4.8,20.0,0.048,0.0003,4.8,0.002,0.0
2024-09-12,4.9,18.0,0.055,0.0004,4.9,0.002,0.0
2024-09-13,6.3,26.0,0.051,0.0005,6.3,0.002,0.0
2024-09-14,6.5,27.0,0.05,0.0004,6.5,0.001,0.0
2024-09-15,5.7,18.0,0.056,0.0004,5.7,0.002,0.0
2024-09-16,4.1,15.0,0.038,0.0004,4.1,0.002,0.0
2024-09-17,4.7,13.0,0.038,0.0003,4.7,0.003,0.0
2024-09-18,2.8,9.0,0.043,0.0003,2.8,0.001,0.0
2024-09-19,3.2,13.0,0.052,0.0003,3.2,0.001,0.0
2024-09-20,3.2,16.0,0.052,0.0004,3.2,0.002,0.0
2024-09-21,3.1,18.0,0.041,0.0003,3.1,0.001,0.0
2024-09-22,4.2,36.0,0.05,0.0003,4.2,0.001,0.0
2024-09-23,2.9,11.0,0.038,0.0003,2.9,0.0,0.0
2024-09-24,2.9,12.0,0.052,0.0004,2.9,0.0,0.0
2024-09-25,2.8,14.0,0.055,0.0003,2.8,0.001,0.0
2024-09-26,4.8,23.0,0.05,0.0003,4.8,0.115,0.102
2024-09-27,4.6,25.0,0.034,0.0004,4.6,0.007,0.0
2024-09-28,4.3,29.0,0.053,0.0003,4.3,0.0,0.0
2024-09-29,4.0,20.0,0.058,0.0004,4.0,0.0,0.0
2024-09-30,4.9,24.0,0.036,0.0005,4.9,0.001,0.0
