,pm25,pm10,co,no2,so2,o3,nh3
2025-03-01,4.1,28.0,0.056,0.0001,4.1,0.005,0.0
2025-03-02,4.7,35.0,0.054,0.0001,4.7,0.005,0.0
2025-03-03,4.2,28.0,0.051,0.0001,4.2,0.004,0.0
2025-03-04,3.7,34.0,0.05,0.0001,3.7,0.002,0.0
2025-03-05,4.5,35.0,0.047,0.0001,4.5,0.003,0.001
2025-03-06,3.3,25.0,0.049,0.0001,3.3,0.002,0.0
2025-03-07,9.7,89.0,0.047,0.0001,9.7,0.003,0.0
2025-03-08,3.7,28.0,0.042,0.0001,3.7,0.005,0.0
2025-03-09,1.3,3.0,0.046,0.0002,1.3,0.003,0.0
2025-03-10,2.9,9.0,0.046,0.0001,2.9,0.004,0.0
2025-03-11,2.7,12.0,0.05,0.0004,2.7,0.003,0.0
2025-03-12,4.7,23.0,0.056,0.0003,4.7,0.004,0.0
2025-03-13,2.9,9.0,0.047,0.0003,2.9,0.004,0.0
2025-03-14,5.4,66.0,0.048,0.0004,5.4,0.004,0.001
2025-03-15,1.6,8.0,0.051,0.0003,1.6,0.003,0.0
2025-03-16,3.6,15.0,0.046,0.0003,3.6,0.003,0.001
2025-03-17,2.5,8.0,0.049,0.0002,2.5,0.001,0.0
2025-03-18,5.9,53.0,0.044,0.0003,5.9,0.004,0.0
2025-03-19,22.8,321.0,0.051,0.0003,22.8,0.002,0.0
2025-03-20,2.7,13.0,0.049,0.0002,2.7,0.002,0.0
2025-03-21,3.4,19.0,0.046,0.0002,3.4,0.004,0.0
2025-03-22,2.4,9.0,0.047,0.0003,2.4,0.003,0.0
2025-03-23,3.2,15.0,0.05,0.0003,3.2,0.003,0.0
2025-03-24,2.4,10.0,0.046,0.0003,2.4,0.003,0.0
2025-03-25,1.3,11.0,0.038,0.0002,1.3,0.003,0.001
2025-03-26,1.4,9.0,0.048,0.0002,1.4,0.003,0.0
2025-03-27,3.8,27.0,0.055,0.0003,3.8,0.005,0.0
2025-03-28,4.7,22.0,0.053,0.0003,4.7,0.004,0.0
2025-03-29,36.8,35.0,0.048,0.0004,36.8,0.002,0.0
2025-03-30,4.1,19.0,0.057,0.0004,4.1,0.003,0.0
2025-03-31,15.5,50.0,0.067,0.0003,15.5,0.003,0.0
