,pm25,pm10,co,no2,so2,o3,nh3
2024-05-01,2.3,10.0,0.059,0.0,2.3,0.003,0.0
2024-05-02,2.8,14.0,0.067,0.0,2.8,0.002,0.0
2024-05-03,4.6,20.0,0.058,0.0,4.6,0.004,0.0
2024-05-04,4.7,21.0,0.067,0.0,4.7,0.002,0.0
2024-05-05,5.0,41.0,0.057,0.0,5.0,0.001,0.0
2024-05-06,6.2,50.0,0.059,0.0,6.2,0.001,0.0
2024-05-07,3.0,25.0,0.066,0.0,3.0,0.001,0.0
2024-05-08,5.4,42.0,0.058,0.0,5.4,0.002,0.0
2024-05-09,3.6,23.0,0.052,0.0,3.6,0.004,0.0
2024-05-10,6.9,65.0,0.055,0.0,6.9,0.004,0.0
2024-05-11,4.9,35.0,0.056,0.0,4.9,0.0,0.0
2024-05-12,4.9,18.0,0.043,0.0,4.9,0.004,0.0
2024-05-13,4.9,18.0,0.061,0.0,4.9,0.001,0.0
2024-05-14,2.8,10.0,0.056,0.0,2.8,0.002,0.0
2024-05-15,3.1,15.0,0.059,0.0,3.1,0.002,0.0
2024-05-16,3.1,19.0,0.061,0.0,3.1,0.004,0.0
2024-05-17,1.6,4.0,0.062,0.0,1.6,0.003,0.0
2024-05-18,4.1,15.0,0.033,0.0,4.1,0.008,0.0
2024-05-19,4.3,19.0,0.064,0.0,4.3,0.002,0.0
2024-05-20,3.2,13.0,0.067,0.0,3.2,0.001,0.0
2024-05-21,3.7,28.0,0.053,0.0,3.7,0.003,0.0
2024-05-22,3.8,22.0,0.064,0.0,3.8,0.002,0.0
2024-05-23,4.9,18.0,0.068,0.0,4.9,0.002,0.0
2024-05-24,5.9,21.0,0.065,0.0,5.9,0.002,0.0
2024-05-25,4.8,20.0,0.061,0.0,4.8,0.002,0.0
2024-05-26,4.8,27.0,0.055,0.0,4.8,0.001,0.0
2024-05-27,3.0,14.0,0.057,0.0,3.0,0.002,0.0
2024-05-28,2.6,12.0,0.063,0.0,2.6,0.0,0.0
2024-05-29,2.4,11.0,0.06,0.0,2.4,0.002,0.0
2024-05-30,5.5,28.0,0.064,0.0,5.5,0.002,0.0
2024-05-31,2.8,14.0,0.067,0.0,2.8,0.001,0.0
