date,pm25,pm10,co,no2,so2,o3,nh3,aqi_pm25,aqi_pm10,aqi_co,aqi_no2,aqi_so2,aqi_o3,AQI
2024-11-01,5.0,20.0,0.026,0.0005,5.0,0.019,0.002,21,19,0,0,7,18,21
2024-11-02,5.6,32.0,0.024,0.0006,5.6,0.017,0.0,23,30,0,1,8,16,30
2024-11-03,3.8,19.0,0.038,0.0005,3.8,0.004,0.0,16,18,0,0,5,4,18
2024-11-04,3.5,9.0,0.039,0.0006,3.5,0.005,0.0,15,8,0,1,5,5,15
2024-11-05,3.2,6.0,0.043,0.0005,3.2,0.006,0.0,13,6,0,0,5,6,13
2024-11-06,3.1,7.0,0.034,0.0005,3.1,0.005,0.0,13,6,0,0,4,5,13
2024-11-07,9.0,13.0,0.022,0.0006,9.0,0.01,0.003,38,12,0,1,13,9,38
2024-11-08,5.5,10.0,0.018,0.0006,5.5,0.01,0.003,23,9,0,1,8,9,23
2024-11-09,3.5,9.0,0.03,0.0005,3.5,0.008,0.0,15,8,0,0,5,7,15
2024-11-10,9.1,16.75,0.012499999999999999,0.000725,9.1,0.025999999999999995,,38,16,0,1,13,24,38
2024-11-11,13.7,24.0,0.001,0.0009,13.7,0.043,0.017,54,22,0,1,20,40,54
2024-11-12,13.7,24.0,0.001,0.0009,13.7,0.043,0.017,54,22,0,1,20,40,54
2024-11-13,3.7,18.0,0.046,0.0005,3.7,0.008,0.001,15,17,1,0,5,7,17
2024-11-14,2.3,11.0,0.023,0.0005,2.3,0.016,0.0,10,10,0,0,3,15,15
2024-11-15,26.3,55.0,0.015,0.0008,26.3,0.038,0.002,81,51,0,1,38,35,81
2024-11-16,3.2,22.0,0.039,0.0006,3.2,0.004,0.0,13,20,0,1,5,4,20
2024-11-17,5.2,17.0,0.029,0.0007,5.2,0.017,0.0,22,16,0,1,7,16,22
2024-11-18,3.6,7.0,0.034,0.0005,3.6,0.004,0.0,15,6,0,0,5,4,15
2024-11-19,3.4,13.0,0.027,0.0006,3.4,0.015,0.001,14,12,0,1,5,14,14
2024-11-20,3.0,13.0,0.038,0.0005,3.0,0.01,0.001,12,12,0,0,4,9,12
2024-11-21,5.1,21.0,0.02,0.0005,5.1,0.025,0.001,21,19,0,0,7,23,23
2024-11-22,7.3,29.0,0.007,0.0006,7.3,0.042,0.007,30,27,0,1,10,39,39
2024-11-23,7.8,34.0,0.003,0.0009,7.8,0.06,0.013,32,31,0,1,11,67,67
2024-11-24,10.5,37.0,0.017,0.0007,10.5,0.031,0.001,44,34,0,1,15,29,44
2024-11-25,4.2,17.0,0.032,0.0005,4.2,0.012,0.0,18,16,0,0,6,11,18
2024-11-26,4.0,17.0,0.031,0.0005,4.0,0.015,0.0,17,16,0,0,6,14,17
2024-11-27,2.7,23.0,0.028,0.0005,2.7,0.012,0.002,11,21,0,0,4,11,21
2024-11-28,2.8,9.0,0.039,0.0006,2.8,0.006,0.0,12,8,0,1,4,6,12
2024-11-29,1.9,5.0,0.039,0.0005,1.9,0.005,0.0,8,5,0,0,3,5,8
2024-11-30,7.3,18.0,0.018,0.0005,7.3,0.023,0.001,30,17,0,0,10,21,30
