date,pm25,pm10,co,no2,so2,o3,nh3,aqi_pm25,aqi_pm10,aqi_co,aqi_no2,aqi_so2,aqi_o3,AQI
2024-03-01,9.6,33.0,0.042,0.0,9.6,0.007,0.0,40,31,0,0,14,6.0,40.0
2024-03-02,2.7,12.0,0.041,0.0,2.7,0.006,0.001,11,11,0,0,4,6.0,11.0
2024-03-03,3.5,30.0,0.044,0.0,3.5,0.005,0.001,15,28,0,0,5,5.0,28.0
2024-03-04,1.5,11.0,0.042,0.0,1.5,0.001,0.0,6,10,0,0,2,1.0,10.0
2024-03-05,2.2,14.0,0.043,0.0,2.2,0.003,0.0,9,13,0,0,3,3.0,13.0
2024-03-06,2.7,14.0,0.045,0.0,2.7,0.004,0.0,11,13,1,0,4,4.0,13.0
2024-03-07,3.0,21.0,0.045,0.0,3.0,0.004,0.0,12,19,1,0,4,4.0,19.0
2024-03-08,2.2,11.0,0.045,0.0,2.2,0.002,0.0,9,10,1,0,3,2.0,10.0
2024-03-09,1.6,4.0,0.033,0.0,1.6,0.003,0.0,7,4,0,0,2,3.0,7.0
2024-03-10,2.6,5.0,0.044,0.0,2.6,0.003,0.0,11,5,0,0,4,3.0,11.0
2024-03-11,2.6,10.0,0.05,0.0,2.6,0.002,0.0,11,9,1,0,4,2.0,11.0
2024-03-12,10.8,22.0,0.057,0.0,10.8,0.003,0.0,45,20,1,0,15,3.0,45.0
2024-03-13,3.2,22.0,0.049,0.0,3.2,0.003,0.0,13,20,1,0,5,3.0,20.0
2024-03-14,2.0,6.0,0.046,0.0,2.0,0.002,0.0,8,6,1,0,3,2.0,8.0
2024-03-15,3.2,16.0,0.048,0.0,3.2,0.005,0.0,13,15,1,0,5,5.0,15.0
2024-03-16,1.7,10.0,0.041,0.0,1.7,0.0,0.0,7,9,0,0,2,0.0,9.0
2024-03-17,3.0,8.0,0.034,0.0,3.0,0.001,0.0,12,7,0,0,4,1.0,12.0
2024-03-18,2.6,5.0,0.039,0.0,2.6,0.0,0.0,11,5,0,0,4,0.0,11.0
2024-03-19,2.1,8.0,0.045,0.0,2.1,0.002,0.001,9,7,1,0,3,2.0,9.0
2024-03-20,2.4,7.0,0.053,0.0,2.4,0.002,0.0,10,6,1,0,3,2.0,10.0
2024-03-21,2.6,8.0,0.043,0.0,2.6,0.047,0.021,11,7,0,0,4,44.0,44.0
2024-03-22,2.5,11.0,0.051,0.0,2.5,0.004,0.0,10,10,1,0,4,4.0,10.0
2024-03-23,2.0,7.0,0.05,0.0,2.0,0.003,0.0,8,6,1,0,3,3.0,8.0
2024-03-24,2.8,13.0,0.047,0.0,2.8,0.005,0.0,12,12,1,0,4,5.0,12.0
2024-03-25,2.4,11.0,0.043,0.0,2.4,0.002,0.0,10,10,0,0,3,2.0,10.0
2024-03-26,1.4,6.0,0.042,0.0,1.4,0.006,0.001,6,6,0,0,2,6.0,6.0
2024-03-27,1.3,4.0,0.041,0.0,1.3,0.007,0.0,5,4,0,0,2,6.0,6.0
2024-03-28,2.5,7.0,0.049,0.0,2.5,0.005,0.001,10,6,1,0,4,5.0,10.0
2024-03-29,2.2,9.0,0.048,0.0,2.2,-0.007,-0.006,9,8,1,0,3,,9.0
2024-03-30,2.6,10.0,0.049,0.0,2.6,-0.0009999999999999996,,11,9,1,0,4,,11.0
2024-03-31,3.4,27.0,0.047,0.0,3.4,-0.007,,14,25,1,0,5,,25.0
