date,pm25,pm10,co,no2,so2,o3,nh3,aqi_pm25,aqi_pm10,aqi_co,aqi_no2,aqi_so2,aqi_o3,AQI
2025-02-01,4.3,15.0,0.035,0.0002,4.3,0.014,0.0,18,14,0,0,6,13,18
2025-02-02,5.6,21.0,0.027,0.0002,5.6,0.018,0.001,23,19,0,0,8,17,23
2025-02-03,4.3,18.0,0.035,0.0001,4.3,0.011,0.0,18,17,0,0,6,10,18
2025-02-04,3.9,19.0,0.033,0.0001,3.9,0.013,0.0,16,18,0,0,6,12,18
2025-02-05,4.7,37.0,0.031,0.0002,4.7,0.014,0.001,20,34,0,0,7,13,34
2025-02-06,3.6,26.0,0.043,0.0001,3.6,0.01,0.001,15,24,0,0,5,9,24
2025-02-07,4.5,33.0,0.041,0.0001,4.5,0.009,0.0,19,31,0,0,6,8,31
2025-02-08,4.0,41.0,0.038,0.0001,4.0,0.01,0.001,17,38,0,0,6,9,38
2025-02-09,8.6,36.0,0.011,0.0002,8.6,0.032,0.005,36,33,0,0,12,30,36
2025-02-10,3.3,16.0,0.044,0.0001,3.3,0.004,0.0,14,15,0,0,5,4,15
2025-02-11,3.2,31.0,0.038,0.0001,3.2,0.005,0.001,13,29,0,0,5,5,29
2025-02-12,4.0,50.0,0.042,0.0001,4.0,0.004,0.0,17,46,0,0,6,4,46
2025-02-13,5.3,48.0,0.047,0.0001,5.3,0.004,0.001,22,44,1,0,8,4,44
2025-02-14,4.8,34.0,0.047,0.0001,4.8,0.004,0.0,20,31,1,0,7,4,31
2025-02-15,3.6,45.0,0.044,0.0001,3.6,0.005,0.001,15,42,0,0,5,5,42
2025-02-16,2.1,8.0,0.039,0.0001,2.1,0.003,0.0,9,7,0,0,3,3,9
2025-02-17,1.6,9.0,0.045,0.0003,1.6,0.003,0.0,7,8,1,0,2,3,8
2025-02-18,6.0,25.0,0.038,0.0003,6.0,0.009,0.002,25,23,0,0,9,8,25
2025-02-19,2.3,14.0,0.049,0.0001,2.3,0.005,0.0,10,13,1,0,3,5,13
2025-02-20,2.3,15.0,0.047,0.0001,2.3,0.005,0.0,10,14,1,0,3,5,14
2025-02-21,7.2,56.0,0.043,0.0002,7.2,0.008,0.001,30,51,0,0,10,7,51
2025-02-22,2.5,13.0,0.041,0.0001,2.5,0.006,0.001,10,12,0,0,4,6,12
2025-02-23,2.8,14.0,0.046,0.0001,2.8,0.004,0.0,12,13,1,0,4,4,13
2025-02-24,3.5,9.0,0.024,0.0001,3.5,0.017,0.0,15,8,0,0,5,16,16
2025-02-25,2.5,17.0,0.043,0.0001,2.5,0.005,0.001,10,16,0,0,4,5,16
2025-02-26,3.1,14.0,0.042,0.0001,3.1,0.007,0.001,13,13,0,0,4,6,13
2025-02-27,3.1,19.0,0.046,0.0,3.1,0.005,0.0,13,18,1,0,4,5,18
2025-02-28,3.7,21.0,0.05,0.0001,3.7,0.005,0.0,15,19,1,0,5,5,19
