date,pm25,pm10,co,no2,so2,o3,nh3,aqi_pm25,aqi_pm10,aqi_co,aqi_no2,aqi_so2,aqi_o3,AQI
2024-07-01,14.8,117.0,0.051,0.0,14.8,0.006,0.0,57,82,1,0,21,6,82
2024-07-02,20.7,52.0,0.048,0.0,20.7,0.003,0.0,69,48,1,0,30,3,69
2024-07-03,2.1,7.0,0.052,0.0,2.1,0.005,0.0,9,6,1,0,3,5,9
2024-07-04,3.3,13.0,0.068,0.0,3.3,0.002,0.0,14,12,1,0,5,2,14
2024-07-05,2.6,15.0,0.061,0.0,2.6,0.004,0.0,11,14,1,0,4,4,14
2024-07-06,4.7,31.0,0.045,0.0,4.7,0.002,0.0,20,29,1,0,7,2,29
2024-07-07,2.6,17.0,0.063,0.0,2.6,0.002,0.0,11,16,1,0,4,2,16
2024-07-08,6.6,20.0,0.056,0.0,6.6,0.002,0.0,28,19,1,0,9,2,28
2024-07-09,3.9,18.0,0.062,0.0,3.9,0.0,0.0,16,17,1,0,6,0,17
2024-07-10,5.7,26.0,0.076,0.0,5.7,0.002,0.0,24,24,1,0,8,2,24
2024-07-11,4.0,15.0,0.069,0.0,4.0,0.001,0.0,17,14,1,0,6,1,17
2024-07-12,4.8,17.0,0.068,0.0,4.8,0.001,0.0,20,16,1,0,7,1,20
2024-07-13,5.8,20.0,0.063,0.0,5.8,0.002,0.0,24,19,1,0,8,2,24
2024-07-14,5.8,19.0,0.069,0.0,5.8,0.002,0.0,24,18,1,0,8,2,24
2024-07-15,6.6,20.0,0.067,0.0,6.6,0.002,0.0,28,19,1,0,9,2,28
2024-07-16,9.7,27.0,0.073,0.0,9.7,0.007,0.0,40,25,1,0,14,6,40
2024-07-17,7.9,26.0,0.063,0.0,7.9,0.002,0.0,33,24,1,0,11,2,33
2024-07-18,5.7,28.0,0.058,0.0,5.7,0.0,0.0,24,26,1,0,8,0,26
2024-07-19,4.9,17.0,0.071,0.0,4.9,0.002,0.0,20,16,1,0,7,2,20
2024-07-20,4.5,19.0,0.059,0.0,4.5,0.0,0.0,19,18,1,0,6,0,19
2024-07-21,6.6,21.0,0.059,0.0,6.6,0.0,0.0,28,19,1,0,9,0,28
2024-07-22,5.3,10.0,0.065,0.0,5.3,0.0,0.0,22,9,1,0,8,0,22
2024-07-23,4.9,10.0,0.068,0.0,4.9,0.0,0.0,20,9,1,0,7,0,20
2024-07-24,12.1,22.0,0.075,0.0,12.1,0.002,0.0,51,20,1,0,17,2,51
2024-07-25,18.0,33.0,0.076,0.0,18.0,0.001,0.0,63,31,1,0,26,1,63
2024-07-26,11.7,21.0,0.075,0.0,11.7,0.001,0.0,49,19,1,0,17,1,49
2024-07-27,6.8,17.0,0.067,0.0,6.8,0.002,0.0,28,16,1,0,10,2,28
2024-07-28,5.9,14.0,0.067,0.0,5.9,0.001,0.0,25,13,1,0,8,1,25
2024-07-29,6.9,20.0,0.066,0.0,6.9,0.001,0.0,29,19,1,0,10,1,29
2024-07-30,4.6,20.0,0.056,0.0,4.6,0.0,0.0,19,19,1,0,7,0,19
2024-07-31,5.4,15.0,0.061,0.0,5.4,0.001,0.0,23,14,1,0,8,1,23
