date,pm25,pm10,co,no2,so2,o3,nh3,aqi_pm25,aqi_pm10,aqi_co,aqi_no2,aqi_so2,aqi_o3,AQI
2024-08-01,5.3,17.0,0.069,0.0,5.3,0.0,0.0,22,16,1,0,8,0,22
2024-08-02,5.1,26.0,0.064,0.0,5.1,0.0,0.0,21,24,1,0,7,0,24
2024-08-03,5.3,21.0,0.065,0.0,5.3,0.0,0.0,22,19,1,0,8,0,22
2024-08-04,4.2,13.0,0.066,0.0,4.2,0.001,0.0,18,12,1,0,6,1,18
2024-08-05,5.0,17.0,0.074,0.0,5.0,0.0,0.0,21,16,1,0,7,0,21
2024-08-06,7.0,26.0,0.062,0.0,7.0,0.002,0.0,29,24,1,0,10,2,29
2024-08-07,5.1,21.0,0.06,0.0003,5.1,0.002,0.0,21,19,1,0,7,2,21
2024-08-08,4.1,17.0,0.068,0.0002,4.1,0.0,0.0,17,16,1,0,6,0,17
2024-08-09,3.7,14.0,0.069,0.0003,3.7,0.0,0.0,15,13,1,0,5,0,15
2024-08-10,8.7,39.0,0.061,0.0002,8.7,0.0,0.0,36,36,1,0,12,0,36
2024-08-11,4.7,14.0,0.063,0.0002,4.7,0.001,0.0,20,13,1,0,7,1,20
2024-08-12,4.7,14.0,0.068,0.0002,4.7,0.0,0.0,20,13,1,0,7,0,20
2024-08-13,4.6,27.0,0.062,0.0002,4.6,0.002,0.0,19,25,1,0,7,2,25
2024-08-14,2.8,10.0,0.061,0.0003,2.8,0.004,0.0,12,9,1,0,4,4,12
2024-08-15,3.4,14.0,0.05,0.0002,3.4,0.003,0.0,14,13,1,0,5,3,14
2024-08-16,3.1,12.0,0.052,0.0002,3.1,0.0,0.0,13,11,1,0,4,0,13
2024-08-17,3.4,16.0,0.051,0.0002,3.4,0.0,0.0,14,15,1,0,5,0,15
2024-08-18,4.0,36.0,0.05,0.0002,4.0,0.002,0.0,17,33,1,0,6,2,33
2024-08-19,3.2,15.0,0.042,0.0002,3.2,0.003,0.0,13,14,0,0,5,3,14
2024-08-20,3.0,16.0,0.062,0.0003,3.0,0.0,0.0,12,15,1,0,4,0,15
2024-08-21,4.1,20.0,0.054,0.0003,4.1,0.001,0.0,17,19,1,0,6,1,19
2024-08-22,3.0,17.0,0.055,0.0003,3.0,0.003,0.0,12,16,1,0,4,3,16
2024-08-23,2.4,15.0,0.055,0.0003,2.4,0.0,0.0,10,14,1,0,3,0,14
2024-08-24,3.8,19.0,0.054,0.0003,3.8,0.006,0.0,16,18,1,0,5,6,18
2024-08-25,4.0,32.0,0.052,0.0002,4.0,0.0,0.0,17,30,1,0,6,0,30
2024-08-26,3.2,13.0,0.054,0.0002,3.2,0.0,0.0,13,12,1,0,5,0,13
2024-08-27,4.1,16.0,0.052,0.0002,4.1,0.001,0.0,17,15,1,0,6,1,17
2024-08-28,4.3,13.0,0.048,0.0002,4.3,0.0,0.0,18,12,1,0,6,0,18
2024-08-29,3.8,12.0,0.052,0.0002,3.8,0.003,0.0,16,11,1,0,5,3,16
2024-08-30,3.6,14.0,0.05,0.0003,3.6,0.002,0.0,15,13,1,0,5,2,15
2024-08-31,4.0,10.0,0.049,0.0002,4.0,0.001,0.0,17,9,1,0,6,1,17
