date,pm25,pm10,co,no2,so2,o3,nh3,aqi_pm25,aqi_pm10,aqi_co,aqi_no2,aqi_so2,aqi_o3,AQI
2024-10-01,6.2,60.0,0.035,0.0004,6.2,0.001,0.0,26,53,0,0,9,1,53
2024-10-02,6.6,48.0,0.036,0.0005,6.6,0.005,0.0,28,44,0,0,9,5,44
2024-10-03,6.4,44.0,0.037,0.0005,6.4,0.007,0.0,27,41,0,0,9,6,41
2024-10-04,5.6,19.0,0.037,0.0004,5.6,0.007,0.0,23,18,0,0,8,6,23
2024-10-05,5.7,30.0,0.054,0.0005,5.7,0.005,0.0,24,28,1,0,8,5,28
2024-10-06,3.6,29.0,0.054,0.0004,3.6,0.002,0.0,15,27,1,0,5,2,27
2024-10-07,7.8,45.0,0.056,0.0004,7.8,0.0,0.0,32,42,1,0,11,0,42
2024-10-08,6.7,30.0,0.055,0.0005,6.7,0.006,0.0,28,28,1,0,10,6,28
2024-10-09,6.9,33.0,0.053,0.0005,6.9,0.005,0.0,29,31,1,0,10,5,31
2024-10-10,6.1,25.0,0.046,0.0004,6.1,0.007,0.0,25,23,1,0,9,6,25
2024-10-11,5.1,25.0,0.052,0.0004,5.1,0.003,0.0,21,23,1,0,7,3,23
2024-10-12,5.9,26.0,0.051,0.0005,5.9,0.006,0.0,25,24,1,0,8,6,25
2024-10-13,6.5,27.0,0.053,0.0004,6.5,0.009,0.0,27,25,1,0,9,8,27
2024-10-14,5.8,26.0,0.053,0.0004,5.8,0.003,0.0,24,24,1,0,8,3,24
2024-10-15,6.4,27.0,0.052,0.0004,6.4,0.006,0.0,27,25,1,0,9,6,27
2024-10-16,8.2,79.0,0.057,0.0004,8.2,0.0,0.0,34,63,1,0,12,0,63
2024-10-17,7.3,41.0,0.057,0.0005,7.3,0.001,0.0,30,38,1,0,10,1,38
2024-10-18,9.4,52.0,0.051,0.0006,9.4,0.0,0.0,39,48,1,1,13,0,48
2024-10-19,7.1,65.0,0.043,0.0005,7.1,0.0,0.0,30,56,0,0,10,0,56
2024-10-20,4.6,11.0,0.041,0.0004,4.6,0.0,0.0,19,10,0,0,7,0,19
2024-10-21,4.8,18.0,0.044,0.0005,4.8,0.003,0.0,20,17,0,0,7,3,20
2024-10-22,3.0,10.0,0.047,0.0003,3.0,0.002,0.0,12,9,1,0,4,2,12
2024-10-23,5.0,19.0,0.026,0.0005,5.0,0.02,0.0,21,18,0,0,7,19,21
2024-10-24,3.7,14.0,0.037,0.0005,3.7,0.012,0.0,15,13,0,0,5,11,15
2024-10-25,3.2,17.0,0.027,0.0006,3.2,0.011,0.0,13,16,0,1,5,10,16
2024-10-26,7.0,31.0,0.036,0.0005,7.0,0.014,0.0,29,29,0,0,10,13,29
2024-10-27,7.4,36.0,0.027,0.0007,7.4,0.021,0.001,31,33,0,1,11,19,33
2024-10-28,9.6,34.0,0.032,0.0008,9.6,0.014,0.0,40,31,0,1,14,13,40
2024-10-29,5.1,20.0,0.032,0.0007,5.1,0.006,0.0,21,19,0,1,7,6,21
2024-10-30,4.3,27.0,0.045,0.0005,4.3,0.002,0.0,18,25,1,0,6,2,25
2024-10-31,2.1,11.0,0.036,0.0004,2.1,0.003,0.0,9,10,0,0,3,3,10
