date,pm25,pm10,co,no2,so2,o3,nh3,aqi_pm25,aqi_pm10,aqi_co,aqi_no2,aqi_so2,aqi_o3,AQI
2024-02-01,3.6,11.0,0.03,0.0,3.6,0.009,0.003,15,10,0,0,5,8,15
2024-02-02,2.4,10.0,0.029,0.0,2.4,0.009,0.0,10,9,0,0,3,8,10
2024-02-03,1.2,3.0,0.041,0.0,1.2,0.006,0.001,5,3,0,0,2,6,6
2024-02-04,0.6,2.0,0.04,0.0,0.6,0.005,0.0,2,2,0,0,1,5,5
2024-02-05,1.7,6.0,0.043,0.0,1.7,0.004,0.0,7,6,0,0,2,4,7
2024-02-06,2.4,11.0,0.037,0.0,2.4,0.008,0.0,10,10,0,0,3,7,10
2024-02-07,4.4,20.0,0.009,0.0,4.4,0.027,0.003,18,19,0,0,6,25,25
2024-02-08,1.7,12.0,0.039,0.0,1.7,0.006,0.001,7,11,0,0,2,6,11
2024-02-09,1.6,5.0,0.039,0.0,1.6,0.005,0.0,7,5,0,0,2,5,7
2024-02-10,1.4,6.0,0.045,0.0,1.4,0.004,0.0,6,6,1,0,2,4,6
2024-02-11,2.1,5.0,0.045,0.0,2.1,0.004,0.0,9,5,1,0,3,4,9
2024-02-12,2.2,6.0,0.04,0.0,2.2,0.003,0.0,9,6,0,0,3,3,9
2024-02-13,2.0,6.0,0.04,0.0,2.0,0.005,0.0,8,6,0,0,3,5,8
2024-02-14,1.8,8.0,0.039,0.0,1.8,0.009,0.0,8,7,0,0,3,8,8
2024-02-15,2.9,15.0,0.045,0.0,2.9,0.008,0.0,12,14,1,0,4,7,14
2024-02-16,2.9,12.0,0.041,0.0,2.9,0.011,0.0,12,11,0,0,4,10,12
2024-02-17,1.4,7.0,0.044,0.0,1.4,0.003,0.0,6,6,0,0,2,3,6
2024-02-18,3.1,9.0,0.028,0.0,3.1,0.008,0.0,13,8,0,0,4,7,13
2024-02-19,6.5,15.0,0.039,0.0,6.5,0.005,0.0,27,14,0,0,9,5,27
2024-02-20,2.9,12.0,0.047,0.0,2.9,0.011,0.0,12,11,1,0,4,10,12
2024-02-21,2.7,20.0,0.044,0.0,2.7,0.007,0.0,11,19,0,0,4,6,19
2024-02-22,2.1,16.0,0.046,0.0,2.1,0.004,0.0,9,15,1,0,3,4,15
2024-02-23,1.6,10.0,0.04,0.0,1.6,0.006,0.001,7,9,0,0,2,6,9
2024-02-24,2.1,12.0,0.042,0.0,2.1,0.007,0.001,9,11,0,0,3,6,11
2024-02-25,2.2,10.0,0.045,0.0,2.2,0.008,0.0,9,9,1,0,3,7,9
2024-02-26,2.3,31.0,0.039,0.0,2.3,0.001,0.0,10,29,0,0,3,1,29
2024-02-27,3.4,40.0,0.033,0.0,3.4,0.003,0.0,14,37,0,0,5,3,37
2024-02-28,2.5,21.0,0.045,0.0,2.5,0.002,0.0,10,19,1,0,4,2,19
2024-02-29,3.8,23.0,0.047,0.0,3.8,0.004,0.0,16,21,1,0,5,4,21
