date,pm25,pm10,co,no2,so2,o3,nh3,aqi_pm25,aqi_pm10,aqi_co,aqi_no2,aqi_so2,aqi_o3,AQI
2025-03-01,4.1,28.0,0.056,0.0001,4.1,0.005,0.0,17,26,1,0,6,5,26
2025-03-02,4.7,35.0,0.054,0.0001,4.7,0.005,0.0,20,32,1,0,7,5,32
2025-03-03,4.2,28.0,0.051,0.0001,4.2,0.004,0.0,18,26,1,0,6,4,26
2025-03-04,3.7,34.0,0.05,0.0001,3.7,0.002,0.0,15,31,1,0,5,2,31
2025-03-05,4.5,35.0,0.047,0.0001,4.5,0.003,0.001,19,32,1,0,6,3,32
2025-03-06,3.3,25.0,0.049,0.0001,3.3,0.002,0.0,14,23,1,0,5,2,23
2025-03-07,9.7,89.0,0.047,0.0001,9.7,0.003,0.0,40,68,1,0,14,3,68
2025-03-08,3.7,28.0,0.042,0.0001,3.7,0.005,0.0,15,26,0,0,5,5,26
2025-03-09,1.3,3.0,0.046,0.0002,1.3,0.003,0.0,5,3,1,0,2,3,5
2025-03-10,2.9,9.0,0.046,0.0001,2.9,0.004,0.0,12,8,1,0,4,4,12
2025-03-11,2.7,12.0,0.05,0.0004,2.7,0.003,0.0,11,11,1,0,4,3,11
2025-03-12,4.7,23.0,0.056,0.0003,4.7,0.004,0.0,20,21,1,0,7,4,21
2025-03-13,2.9,9.0,0.047,0.0003,2.9,0.004,0.0,12,8,1,0,4,4,12
2025-03-14,5.4,66.0,0.048,0.0004,5.4,0.004,0.001,23,56,1,0,8,4,56
2025-03-15,1.6,8.0,0.051,0.0003,1.6,0.003,0.0,7,7,1,0,2,3,7
2025-03-16,3.6,15.0,0.046,0.0003,3.6,0.003,0.001,15,14,1,0,5,3,15
2025-03-17,2.5,8.0,0.049,0.0002,2.5,0.001,0.0,10,7,1,0,4,1,10
2025-03-18,5.9,53.0,0.044,0.0003,5.9,0.004,0.0,25,49,0,0,8,4,49
2025-03-19,22.8,321.0,0.051,0.0003,22.8,0.002,0.0,74,184,1,0,33,2,184
2025-03-20,2.7,13.0,0.049,0.0002,2.7,0.002,0.0,11,12,1,0,4,2,12
2025-03-21,3.4,19.0,0.046,0.0002,3.4,0.004,0.0,14,18,1,0,5,4,18
2025-03-22,2.4,9.0,0.047,0.0003,2.4,0.003,0.0,10,8,1,0,3,3,10
2025-03-23,3.2,15.0,0.05,0.0003,3.2,0.003,0.0,13,14,1,0,5,3,14
2025-03-24,2.4,10.0,0.046,0.0003,2.4,0.003,0.0,10,9,1,0,3,3,10
2025-03-25,1.3,11.0,0.038,0.0002,1.3,0.003,0.001,5,10,0,0,2,3,10
2025-03-26,1.4,9.0,0.048,0.0002,1.4,0.003,0.0,6,8,1,0,2,3,8
2025-03-27,3.8,27.0,0.055,0.0003,3.8,0.005,0.0,16,25,1,0,5,5,25
2025-03-28,4.7,22.0,0.053,0.0003,4.7,0.004,0.0,20,20,1,0,7,4,20
2025-03-29,36.8,35.0,0.048,0.0004,36.8,0.002,0.0,104,32,1,0,52,2,104
2025-03-30,4.1,19.0,0.057,0.0004,4.1,0.003,0.0,17,18,1,0,6,3,18
2025-03-31,15.5,50.0,0.067,0.0003,15.5,0.003,0.0,58,46,1,0,22,3,58
