date,pm25,pm10,co,no2,so2,o3,nh3,aqi_pm25,aqi_pm10,aqi_co,aqi_no2,aqi_so2,aqi_o3,AQI
2024-04-01,3.5,21.0,0.05,0.0,3.5,0.011,0.004,15,19,1,0,5,10,19
2024-04-02,2.0,3.0,0.049,0.0,2.0,0.011,0.004,8,3,1,0,3,10,10
2024-04-03,0.8,3.0,0.054,0.0,0.8,0.0,0.0,3,3,1,0,1,0,3
2024-04-04,2.0,8.0,0.051,0.0,2.0,0.002,0.0,8,7,1,0,3,2,8
2024-04-05,1.6,9.0,0.05,0.0,1.6,0.0,0.0,7,8,1,0,2,0,8
2024-04-06,7.0,75.0,0.06,0.0,7.0,0.001,0.0,29,61,1,0,10,1,61
2024-04-07,1.9,10.0,0.052,0.0,1.9,0.002,0.0,8,9,1,0,3,2,9
2024-04-08,2.1,8.0,0.05,0.0,2.1,0.0,0.0,9,7,1,0,3,0,9
2024-04-09,2.5,17.0,0.05,0.0,2.5,0.0,0.0,10,16,1,0,4,0,16
2024-04-10,3.6,21.0,0.051,0.0,3.6,0.008,0.0,15,19,1,0,5,7,19
2024-04-11,3.6,18.0,0.054,0.0,3.6,0.003,0.0,15,17,1,0,5,3,17
2024-04-12,3.5,16.0,0.055,0.0,3.5,0.003,0.0,15,15,1,0,5,3,15
2024-04-13,4.7,33.0,0.056,0.0,4.7,0.002,0.0,20,31,1,0,7,2,31
2024-04-14,3.1,14.0,0.066,0.0,3.1,0.001,0.0,13,13,1,0,4,1,13
2024-04-15,2.6,13.0,0.064,0.0,2.6,0.001,0.0,11,12,1,0,4,1,12
2024-04-16,2.5,23.0,0.069,0.0,2.5,0.001,0.0,10,21,1,0,4,1,21
2024-04-17,2.4,12.0,0.057,0.0,2.4,0.003,0.0,10,11,1,0,3,3,11
2024-04-18,2.0,12.0,0.061,0.0,2.0,0.002,0.0,8,11,1,0,3,2,11
2024-04-19,2.1,11.0,0.055,0.0,2.1,0.002,0.0,9,10,1,0,3,2,10
2024-04-20,0.0,17.0,0.058,0.0,0.0,0.002,0.0,0,16,1,0,0,2,16
2024-04-21,0.0,12.0,0.054,0.0,0.0,0.001,0.0,0,11,1,0,0,1,11
2024-04-22,0.0,16.0,0.051,0.0,0.0,0.001,0.0,0,15,1,0,0,1,15
2024-04-23,3.8,18.0,0.055,0.0,3.8,0.004,0.0,16,17,1,0,5,4,17
2024-04-24,3.9,19.0,0.063,0.0,3.9,0.001,0.0,16,18,1,0,6,1,18
2024-04-25,3.2,15.0,0.054,0.0,3.2,0.003,0.0,13,14,1,0,5,3,14
2024-04-26,2.7,14.0,0.057,0.0,2.7,0.002,0.0,11,13,1,0,4,2,13
2024-04-27,3.2,18.0,0.054,0.0,3.2,0.004,0.0,13,17,1,0,5,4,17
2024-04-28,1.5,7.0,0.044,0.0,1.5,0.003,0.0,6,6,0,0,2,3,6
2024-04-29,1.9,6.0,0.05,0.0,1.9,0.002,0.0,8,6,1,0,3,2,8
2024-04-30,1.9,7.0,0.051,0.0,1.9,0.002,0.0,8,6,1,0,3,2,8
