date,pm25,pm10,co,no2,so2,o3,nh3,aqi_pm25,aqi_pm10,aqi_co,aqi_no2,aqi_so2,aqi_o3,AQI
2025-01-01,3.9,21.0,0.024,0.0007,3.9,0.018,0.0,16,19,0,1,6,17,19
2025-01-02,5.1,13.0,0.028,0.0006,5.1,0.02,0.0,21,12,0,1,7,19,21
2025-01-03,4.0,25.0,0.035,0.0006,4.0,0.011,0.0,17,23,0,1,6,10,23
2025-01-04,9.2,32.0,0.018,0.0007,9.2,0.027,0.0,38,30,0,1,13,25,38
2025-01-05,8.0,79.0,0.05,0.0007,8.0,0.005,0.001,33,63,1,1,11,5,63
2025-01-06,2.2,10.0,0.043,0.0006,2.2,0.006,0.001,9,9,0,1,3,6,9
2025-01-07,2.9,13.0,0.035,0.0001,2.9,0.011,0.0,12,12,0,0,4,10,12
2025-01-08,3.3,15.0,0.036,0.0,3.3,0.004,0.0,14,14,0,0,5,4,14
2025-01-09,6.7,25.0,0.027,0.0001,6.7,0.02,0.002,28,23,0,0,10,19,28
2025-01-10,5.9,14.0,0.032,0.0001,5.9,0.011,0.0,25,13,0,0,8,10,25
2025-01-11,5.0,15.0,0.027,0.0002,5.0,0.017,0.001,21,14,0,0,7,16,21
2025-01-12,3.7,41.0,0.042,0.0001,3.7,0.005,0.001,15,38,0,0,5,5,38
2025-01-13,2.7,6.0,0.038,0.0,2.7,0.003,0.0,11,6,0,0,4,3,11
2025-01-14,7.0,15.0,0.026,0.0002,7.0,0.013,0.0,29,14,0,0,10,12,29
2025-01-15,3.2,12.0,0.032,0.0001,3.2,0.014,0.002,13,11,0,0,5,13,13
2025-01-16,5.1,25.0,0.021,0.0002,5.1,0.025,0.002,21,23,0,0,7,23,23
2025-01-17,4.2,19.0,0.024,0.0001,4.2,0.028,0.003,18,18,0,0,6,26,26
2025-01-18,4.1,22.0,0.034,0.0001,4.1,0.015,0.001,17,20,0,0,6,14,20
2025-01-19,6.6,79.0,0.046,0.0001,6.6,0.005,0.001,28,63,1,0,9,5,63
2025-01-20,4.0,12.0,0.041,0.0001,4.0,0.006,0.0,17,11,0,0,6,6,17
2025-01-21,3.0,20.0,0.045,0.0004,3.0,0.007,0.001,12,19,1,0,4,6,19
2025-01-22,3.7,23.0,0.027,0.0002,3.7,0.021,0.002,15,21,0,0,5,19,21
2025-01-23,3.3,31.0,0.047,0.0001,3.3,0.006,0.001,14,29,1,0,5,6,29
2025-01-24,3.1,13.0,0.039,0.0002,3.1,0.01,0.001,13,12,0,0,4,9,13
2025-01-25,5.4,26.0,0.025,0.0001,5.4,0.024,0.004,23,24,0,0,8,22,24
2025-01-26,4.7,26.0,0.028,0.0001,4.7,0.009,0.0,20,24,0,0,7,8,24
2025-01-27,8.7,26.0,0.011,0.0001,8.7,0.072,0.034,36,24,0,0,12,104,104
2025-01-28,3.5,19.0,0.04,0.0001,3.5,0.005,0.0,15,18,0,0,5,5,18
2025-01-29,7.6,64.0,0.047,0.0002,7.6,0.004,0.0,32,55,1,0,11,4,55
2025-01-30,4.1,8.0,0.042,0.0001,4.1,0.006,0.0,17,7,0,0,6,6,17
2025-01-31,4.3,26.0,0.041,0.0001,4.3,0.008,0.001,18,24,0,0,6,7,24
